id,name,city,country,iata_code,lat,lng,links_count,objectID
759,Nizhnevartovsk,Nizhnevartovsk,Russia,NJC,60.949272,76.483617,28,2972
760,"Dnipropetrovsk Intl",Dnepropetrovsk,Ukraine,DNK,48.357222,35.100556,28,2941
761,"La Chinita Intl",Maracaibo,Venezuela,MAR,10.558208,-71.727856,28,2848
762,Ishigaki,Ishigaki,Japan,ISG,24.344525,124.186983,28,2387
763,Quetta,Quetta,Pakistan,UET,30.251369,66.937764,28,2221
764,"Marsh Harbour","Marsh Harbor",Bahamas,MHH,26.511406,-77.083472,28,1930
765,"Juan Manuel Galvez Intl",Roatan,Honduras,RTB,16.316814,-86.522961,28,1774
766,"City Centre",Toronto,Canada,YTZ,43.627499,-79.396167,28,144
767,"Sud Corse",Figari,France,FSC,41.500557,9.097777,28,1323
768,Anglet,Biarritz-bayonne,France,BIQ,43.468419,-1.523325,28,1280
769,Rabil,"Boa Vista","Cape Verde",BVC,16.136531,-22.888897,28,1103
770,"Mahlon Sweet Fld",Eugene,"United States",EUG,44.124583,-123.211972,27,4099
771,"City Of Colorado Springs Muni","Colorado Springs","United States",COS,38.805805,-104.700778,27,3819
772,"Burlington Intl",Burlington,"United States",BTV,44.471861,-73.153278,27,3711
773,"Sultan Mahmud Badaruddin Ii",Palembang,Indonesia,PLM,-2.89825,104.699903,27,3289
774,"Rarotonga Intl",Avarua,"Cook Islands",RAR,-21.202739,-159.805556,27,1959
775,"Licenciado Adolfo Lopez Mateos Intl",Toluca,Mexico,TLC,19.337072,-99.566008,27,1850
776,"Thunder Bay","Thunder Bay",Canada,YQT,48.371944,-89.323889,27,121
777,"Bujumbura Intl",Bujumbura,Burundi,BJM,-3.324019,29.318519,27,1120
778,"Seychelles Intl",Mahe,Seychelles,SEZ,-4.674342,55.521839,26,994
779,"Luzhou Airport",Luzhou,China,LZO,28.8522,105.393,26,6399
780,"Zhoushan Airport",Zhoushan,China,HSN,29.9342,122.362,26,6395
781,"Ganzhou Airport",Ganzhou,China,KOW,25.8258,114.912,26,6379
782,"Xiangfan Airport",Xiangfan,China,XFN,32.1506,112.291,26,6360
783,"Tongliao Airport",Tongliao,China,TGO,43.5567,122.2,26,6348
784,Vigra,Alesund,Norway,AES,62.560372,6.110164,26,630
785,"Lehigh Valley Intl",Allentown,"United States",ABE,40.652083,-75.440806,26,4355
786,"Diosdado Macapagal International","Angeles City",Philippines,CRK,15.185833,120.560278,26,4140
787,"Bishop International",Flint,"United States",FNT,42.965424,-83.743629,26,4089
788,"Sarasota Bradenton Intl",Sarasota,"United States",SRQ,27.395444,-82.554389,26,4067
789,Charlottesville-Albemarle,"Charlottesville VA","United States",CHO,38.138639,-78.452861,26,4015
790,"Sioux Falls","Sioux Falls","United States",FSD,43.582014,-96.741914,26,4009
791,"Wilmington Intl",Wilmington,"United States",ILM,34.270615,-77.902569,26,3845
792,Friedrichshafen,Friedrichshafen,Germany,FDH,47.671317,9.511486,26,382
793,Kashi,Kashi,China,KHG,39.542922,76.019956,26,3397
794,Canberra,Canberra,Australia,CBR,-35.306944,149.195,26,3355
795,"Mount Isa","Mount Isa",Australia,ISA,-20.663889,139.488611,26,3324
796,"Luang Phabang Intl","Luang Prabang",Laos,LPQ,19.897914,102.160764,26,3115
797,"Zumbi Dos Palmares",Maceio,Brazil,MCZ,-9.510808,-35.791678,26,2590
798,"Santa Maria",Aracaju,Brazil,AJU,-10.984,-37.070333,26,2522
799,"Ambrosio L V Taravella",Cordoba,Argentina,COR,-31.323619,-64.207953,26,2443
800,Okayama,Okayama,Japan,OKJ,34.756944,133.855278,26,2327
801,Taif,Taif,"Saudi Arabia",TIF,21.483418,40.544334,26,2090
802,"La Tontouta",Noumea,"New Caledonia",NOU,-22.014553,166.212972,26,2005
803,"C P A Carlos Rovirosa Intl",Villahermosa,Mexico,VSA,17.997,-92.817361,26,1853
804,"Victoria Intl",Victoria,Canada,YYJ,48.646944,-123.425833,26,184
805,"Traian Vuia",Timisoara,Romania,TSR,45.809861,21.337861,26,1663
806,Mikonos,Mykonos,Greece,JMK,37.435128,25.348103,26,1468
807,"St Jacques",Rennes,France,RNS,48.069508,-1.734794,26,1415
808,"Mombasa Moi Intl",Mombasa,Kenya,MBA,-4.034833,39.59425,26,1145
809,"Banjul Intl",Banjul,Gambia,BJL,13.337961,-16.652206,26,1050
810,"Fort Mcmurray","Fort Mcmurray",Canada,YMM,56.653333,-111.221944,25,90
811,"Aniak Airport",Aniak,"United States",ANI,61.5816,-159.543,25,5967
812,"Tokua Airport",Tokua,"Papua New Guinea",RAB,-4.34046,152.38,25,5435
813,Patna,Patina,India,PAT,25.591317,85.087992,25,3061
814,"Pampulha Carlos Drummond De Andrade","Belo Horizonte",Brazil,PLU,-19.851181,-43.950628,25,2528
815,Gassim,Gassim,"Saudi Arabia",ELQ,26.302822,43.773911,25,2067
816,"Kamuzu Intl",Lilongwe,Malawi,LLW,-13.789378,33.781,25,1016
817,"Huai An Lianshui Airport","Huai An",China,HIA,33.7772,119.1478,24,7898
818,Karmoy,Haugesund,Norway,HAU,59.345267,5.208364,24,645
819,"Wanxian Airport",Wanxian,China,WXN,30.8361,108.406,24,6403
820,"Yulin Airport",Yulin,China,UYN,38.2692,109.731,24,6368
821,"Namangan Airport",Namangan,Uzbekistan,NMA,40.9846,71.5567,24,6150
822,"Misratah Airport",Misratah,Libya,MRA,32.325,15.061,24,5804
823,"Aden Adde International Airport",Mogadishu,Somalia,MGQ,2.01444,45.3047,24,5687
824,"Tampere Pirkkala",Tampere,Finland,TMP,61.414147,23.604392,24,458
825,Broome,Broome,Australia,BME,-17.8,122.2,24,4319
826,"Central Illinois Rgnl",Bloomington,"United States",BMI,40.477111,-88.915917,24,4037
827,"Billings Logan International Airport",Billings,"United States",BIL,45.80921,-108.537654,24,4021
828,"Asheville Regional Airport",Asheville,"United States",AVL,35.436194,-82.541806,24,4007
829,Kobe,Kobe,Japan,UKB,34.632778,135.223889,24,3943
830,"Gainesville Rgnl",Gainesville,"United States",GNV,29.690056,-82.271778,24,3472
831,"Alice Springs","Alice Springs",Australia,ASP,-23.806667,133.902222,24,3319
832,Jammu,Jammu,India,IXJ,32.689142,74.837389,24,3100
833,"Terrance B Lettsome Intl",Tortola,"British Virgin Islands",EIS,18.444834,-64.542975,24,2903
834,"Rafael Nunez",Cartagena,Colombia,CTG,10.442381,-75.512961,24,2714
835,"Cataratas Intl","Foz Do Iguacu",Brazil,IGU,-25.59615,-54.487206,24,2554
836,Matsuyama,Matsuyama,Japan,MYJ,33.827222,132.699722,24,2333
837,"Multan Intl",Multan,Pakistan,MUX,30.203222,71.419111,24,2214
838,"Juan Gualberto Gomez Intl",Varadero,Cuba,VRA,23.034445,-81.435278,24,1923
839,"Abraham Gonzalez Intl","Ciudad Juarez",Mexico,CJS,31.636133,-106.428667,24,1796
840,"Bern Belp",Bern,Switzerland,BRN,46.9141,7.497153,24,1676
841,Iasi,Iasi,Romania,IAS,47.178492,27.620631,24,1655
842,"A Coruna","La Coruna",Spain,LCG,43.302061,-8.377256,24,1220
843,Burgas,Bourgas,Bulgaria,BOJ,42.569583,27.515236,24,1191
844,Zanzibar,Zanzibar,Tanzania,ZNZ,-6.222025,39.224886,24,1186
845,Juba,Juba,"South Sudan",JUB,4.872006,31.601117,24,1173
846,"Sialkot Airport",Sialkot,Pakistan,SKT,32.5356,74.3639,23,6776
847,Londrina,Londrina,Brazil,LDB,-23.333625,-51.130072,23,2581
848,"Nausori Intl",Nausori,Fiji,SUV,-18.043267,178.559228,23,1961
849,Linz,Linz,Austria,LNZ,48.233219,14.187511,23,1611
850,"Bale Mulhouse",Mulhouse,France,MLH,47.589583,7.529914,23,1423
851,Nouakchott,Nouakschott,Mauritania,NKC,18.097856,-15.947956,23,1094
852,"Fuyang Airport",Fuyang,China,FUG,32.9,115.816667,22,7503
853,Manzhouli,Manzhouli,China,NZH,49.566667,117.329444,22,6954
854,Jasionka,Rzeszow,Poland,RZE,50.109958,22.019,22,675
855,Kjevik,Kristiansand,Norway,KRS,58.204214,8.085369,22,638
856,"Datong Airport",Datong,China,DAT,40.0603,113.482,22,6344
857,"Belgorod International Airport",Belgorod,Russia,EGO,50.6438,36.5901,22,6156
858,"Santo Pekoa International Airport",Santo,Vanuatu,SON,-15.505033,167.219742,22,5908
859,Kirkwall,Kirkwall,"United Kingdom",KOI,58.957778,-2.905,22,529
860,"Isle Of Man","Isle Of Man","Isle of Man",IOM,54.083333,-4.623889,22,520
861,"South Bend Rgnl","South Bend","United States",SBN,41.708661,-86.31725,22,4359
862,"San Pedro","San Pedro",Belize,SPR,17.913936,-87.971075,22,4279
863,Nadzab,Nadzab,"Papua New Guinea",LAE,-6.569828,146.726242,22,4
864,Riyan,Mukalla,Yemen,RIY,14.662639,49.375028,22,3974
865,"Chiang Rai Intl","Chiang Rai",Thailand,CEI,19.952342,99.882928,22,3932
866,"Paderborn Lippstadt",Paderborn,Germany,PAD,51.614089,8.616317,22,371
867,"Munster Osnabruck",Munster,Germany,FMO,52.134642,7.684831,22,341
868,"Port Blair","Port Blair",India,IXZ,11.641161,92.729744,22,3146
869,Raipur,Raipur,India,RPR,21.180406,81.738753,22,3020
870,"Mount Hagen","Mount Hagen","Papua New Guinea",HGU,-5.826789,144.295861,22,3
871,Mukhino,Ulan-ude,Russia,UUD,51.807764,107.437644,22,2938
872,Kadala,Chita,Russia,HTA,52.026317,113.305556,22,2935
873,"Robert L Bradshaw","Basse Terre","Saint Kitts and Nevis",SKB,17.311194,-62.718667,22,2891
874,"General Manuel Carlos Piar",Guayana,Venezuela,PZO,8.288528,-62.760361,22,2856
875,"General Jose Antonio Anzoategui Intl",Barcelona,Venezuela,BLA,10.107139,-64.689161,22,2821
876,"Teniente Alejandro Velasco Astete Intl",Cuzco,Peru,CUZ,-13.535722,-71.938781,22,2812
877,"Gustavo Rojas Pinilla","San Andres Island",Colombia,ADZ,12.583594,-81.711192,22,2749
878,"Olaya Herrera",Medellin,Colombia,EOH,6.219958,-75.590519,22,2729
879,"Cerro Moreno Intl",Antofagasta,Chile,ANF,-23.444478,-70.4451,22,2651
880,"Senador Petronio Portella",Teresina,Brazil,THE,-5.059942,-42.823478,22,2623
881,Maraba,Maraba,Brazil,MAB,-5.368589,-49.138025,22,2584
882,"Presidente Castro Pinto","Joao Pessoa",Brazil,JPA,-7.148381,-34.950681,22,2575
883,Miyazaki,Miyazaki,Japan,KMI,31.877222,131.448611,22,2308
884,"Zahedan Intl",Zahedan,Iran,ZAH,29.475686,60.906189,22,2167
885,"Cibao Intl",Santiago,"Dominican Republic",STI,19.406092,-70.604689,22,1764
886,Tivat,Tivat,Montenegro,TIV,42.404664,18.723286,22,1743
887,Lajes,"Lajes (terceira Island)",Portugal,TER,38.761842,-27.090797,22,1629
888,"Ronchi Dei Legionari","Ronchi De Legionari",Italy,TRS,45.8275,13.472222,22,1545
889,Aktio,Preveza,Greece,PVK,38.925467,20.765311,22,1470
890,Bellegarde,Limoges,France,LIG,45.862778,1.179444,22,1270
891,Roumaniere,Bergerac,France,EGC,44.825279,0.518611,22,1265
892,Vigo,Vigo,Spain,VGO,42.2318,-8.626775,22,1250
893,Sale,Rabat,Morocco,RBA,34.051467,-6.751519,22,1072
894,"Al Najaf International Airport",Najaf,Iraq,NJF,31.991667,44.404167,21,7490
895,"Saint Barthelemy",Gustavia,France,SBH,17.9023,-62.8324,21,6460
896,Inverness,Inverness,"United Kingdom",INV,57.5425,-4.0475,21,533
897,Yeager,Charleston,"United States",CRW,38.373147,-81.593189,21,4285
898,"Aeroporto de Porto Seguro","Porto Seguro",Brazil,BPS,-16.438611,-39.080833,21,4209
899,"El Tari",Kupang,Indonesia,KOE,-10.171583,123.671136,21,3916
900,"Eglin Afb",Valparaiso,"United States",VPS,30.48325,-86.5254,21,3873
